Transaction ID,Amount,User ID,Service,Service Type,Payment_Status,Reason,Date
RCG_B3564SL87QX04,1554.6,PP1237832,Recharge_Bills,DTH,Success,Success,19-07-2026
RCG_3N3AIR7GKN07W,1979.16,PP5925226,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_IEQIWKDXF1KLH,616.86,PP8144702,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_45I52JQ411RLZ,419.66,PP3235478,Recharge_Bills,Mobile Recharge ,Failed,Server Error,19-07-2026
RCG_185OEYBRLLBH2,1457.1,PP6859850,Recharge_Bills,Cable TV ,Success,Success,19-07-2026
RCG_QA3B89BUK931A,1285.97,PP5821065,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_HQ1O6WDIA0PUB,700.87,PP7016672,Recharge_Bills,FASTag Recharge ,Success,Success,19-07-2026
RCG_I50LCSKWGCD6D,1585.84,PP8271318,Recharge_Bills,Cable TV ,Success,Success,19-07-2026
RCG_QL365UXWRHBO2,158.47,PP5664933,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_E1VBE49MY0JML,892.91,PP6216414,Recharge_Bills,FASTag Recharge ,Success,Success,19-07-2026
RCG_A8QT6XH0Y5IK8,1215.7,PP8958559,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_MGJK85I68SSXE,241.19,PP1813322,Recharge_Bills,nan ,Failed,Server Error,19-07-2026
RCG_1V1RYUCNBBVAI,1784.08,PP9911142,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_4T0F6M4FL4ZX3,537.14,PP5655574,Recharge_Bills,Cable TV ,Failed,Server Error,19-07-2026
RCG_JMOODWA21F0G8,1638.01,PP1305770,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_NAPDSELUP020L,1501.02,PP1773627,Recharge_Bills,FASTag Recharge,Success,Success,19-07-2026
RCG_B8JXAPC7P3YGM,1581.77,PP8350965,Recharge_Bills,DTH,Success,Success,19-07-2026
RCG_NE78S75DCXO5C,725.12,PP7929419,Recharge_Bills,FASTag Recharge ,Success,Success,19-07-2026
RCG_WFRGBYK1YMXH6,539.38,PP3926110,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_408JTREE6EHCX,755.39,PP7631573,Recharge_Bills,Mobile Recharge,Success,Success,19-07-2026
RCG_U8P7A0DAV9AQE,74.79,PP4792929,Recharge_Bills,DTH ,Success,Success,19-07-2026
RCG_5VGQEK1RLLC47,1127.02,PP5759364,Recharge_Bills,nan ,Success,Success,19-07-2026
RCG_CHVDSADTO9L9U,962.25,PP4201913,Recharge_Bills,Cable TV ,Success,Success,19-07-2026
RCG_NYKTGLNZIYIQL,1446.1,PP5951380,Recharge_Bills,nan ,Success,Success,19-07-2026
