Transaction ID,Amount,User ID,Service,Service Type,Payment_Status,Reason,Date
RCG_OB46FJI7YMRTB,1385.91,PP9719105,Recharge_Bills,FASTag Recharge ,Success,Success,23-07-2026
RCG_AOUPQ44E1T86A,715.11,PP5836308,Recharge_Bills,Mobile Recharge,Success,Success,23-07-2026
RCG_JXUZ1HC196LTX,128.23,PP5002320,Recharge_Bills,Mobile Recharge,Success,Success,23-07-2026
RCG_KDCE6IA62YEOM,752.97,PP7738396,Recharge_Bills,FASTag Recharge,Success,Success,23-07-2026
RCG_7EJGQCZDOKJMQ,41.5,PP6467983,Recharge_Bills,Cable TV,Failed,Insufficient Balance,23-07-2026
RCG_GWKH6HXJSFRVJ,924.09,PP1943108,Recharge_Bills,FASTag Recharge ,Success,Success,23-07-2026
RCG_DH2607JY9HEJJ,1725.42,PP5727089,Recharge_Bills,Cable TV,Success,Success,23-07-2026
RCG_JDJBFYSY5B0PG,127.98,PP5324725,Recharge_Bills,Cable TV ,Success,Success,23-07-2026
RCG_GFGZ9IMUHHV88,114.46,PP6534757,Recharge_Bills,FASTag Recharge,Success,Success,23-07-2026
RCG_BOQU0GJ20FBY2,929.27,PP8450592,Recharge_Bills,Mobile Recharge,Success,Success,23-07-2026
RCG_KWZO6UFWKG9CI,1561.89,PP7980263,Recharge_Bills,Mobile Recharge,Success,Success,23-07-2026
RCG_H1RB24L646ZID,400.65,PP7436660,Recharge_Bills,FASTag Recharge ,Success,Success,23-07-2026
RCG_Q5QOIR3KASBKS,1254.75,PP6419428,Recharge_Bills,DTH,Success,Success,23-07-2026
RCG_S043VOFVLBFW3,1041.72,PP1163021,Recharge_Bills,DTH ,Success,Success,23-07-2026
