transaction_id,amount,user_id,service,service_type,payment_status,reason,date
RCG_1CCF8271C267,93.1,PP0004412,Recharge_Bills,Dth,Successful,Successful,2024-04-27
RCG_01D3FDA6B427,43.97,PP0011417,Recharge_Bills,Cable Tv,Successful,Successful,2024-04-03
RCG_1E7065368033,881.33,PP0030742,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-01-23
RCG_BA443C7B8055,959.9,PP1063934,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-09-26
RCG_7F345CEADF7A,1274.95,PP0017139,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-03-28
RCG_40D033464178,1070.63,PP1053943,Recharge_Bills,Cable Tv,Successful,Successful,2024-05-01
RCG_B3E0F17040BC,149.08,PP0048818,Recharge_Bills,Dth,Successful,Successful,2024-06-01
RCG_EA0FB29C8BB3,1292.38,PP1081362,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-02-19
RCG_767DFB1FF3BA,634.65,PP1105723,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-08
RCG_AB72DB36A407,1330.0,PP0043346,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-11-22
RCG_93E6BE4ABFD5,1399.43,PP0005108,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-02-02
RCG_93A31927CC9A,651.71,PP0029285,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-08-28
RCG_D1F4E9AE563B,235.98,PP0017331,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-03-06
RCG_86080D069139,853.38,PP0024458,Recharge_Bills,Cable Tv,Successful,Successful,2024-11-17
RCG_B0FDEAB9F05F,1726.23,PP0019953,Recharge_Bills,Fastag Recharge,Unknown,Successful,2024-11-20
RCG_C17E769F04BE,1396.68,PP0009877,Recharge_Bills,Cable Tv,Successful,Successful,2024-03-09
RCG_F36A0484A294,285.37,PP1058794,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-06-23
RCG_FE01C1B025BA,652.62,PP1073731,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-30
RCG_28A9DE597E5D,129.5,PP0005781,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-10-09
RCG_8A5EEC9CA939,913.77,PP1094047,Recharge_Bills,Dth,Successful,Successful,2024-09-08
RCG_8ADC10BD3AC3,1014.3,PP1106339,Recharge_Bills,Dth,Successful,Successful,2024-09-21
RCG_220D198C0E21,1996.84,PP0027223,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-09-19
RCG_9EACD8A9A04A,305.72,PP0004453,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-07-29
RCG_1E68956BB65A,122.51,PP0003802,Recharge_Bills,Fastag Recharge,Successful,Unknown,2024-07-28
RCG_1D84150FB200,1180.83,PP1084353,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-08-25
RCG_9138764B242D,224.91,PP1080268,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-03-20
RCG_F59C1DD98E0E,1659.4,PP0026339,Recharge_Bills,Cable Tv,Successful,Successful,2024-12-12
RCG_F579A0CA89CC,1014.3,PP1064156,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-01-18
RCG_DD90A6529DD4,629.87,PP1096809,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-02-28
RCG_F417B39DA523,1507.36,PP0015723,Recharge_Bills,Fastag Recharge,Failed,Wrong PIN,2024-09-19
RCG_C7956914719A,900.08,PP1085031,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-02-03
RCG_1363AA1125A8,1124.37,PP1063251,Recharge_Bills,Dth,Successful,Successful,2024-02-29
RCG_D9E80909EF6D,408.65,PP0006367,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-13
RCG_39705489EFB0,1077.01,PP0048943,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-10-24
RCG_CAC74B637B9B,1720.62,PP1081514,Recharge_Bills,Dth,Successful,Successful,2024-05-17
RCG_C445B3AC15EC,1134.71,PP1087154,Recharge_Bills,Cable Tv,Failed,Wrong PIN,2024-05-15
RCG_B7130FB6BC27,524.8,PP0030827,Recharge_Bills,Fastag Recharge,Unknown,Successful,2024-12-07
RCG_87292160A313,878.49,PP0013892,Recharge_Bills,Dth,Successful,Successful,2024-11-13
RCG_7194A9F25F09,820.04,PP1094193,Recharge_Bills,Dth,Successful,Successful,2024-06-08
RCG_922656271CC8,91.92,PP0048381,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-01-10
RCG_E923B193B84D,135.36,PP1098476,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-28
RCG_F72DB3FA1D35,448.66,PP0043913,Recharge_Bills,Cable Tv,Successful,Successful,2024-05-18
RCG_E4DE1A9CE2F8,496.6,PP1083030,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-09-07
RCG_E23818CF65EF,1662.94,PP0018910,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-15
RCG_48611B34D98B,871.99,PP1055194,Recharge_Bills,Dth,Successful,Successful,2024-04-15
RCG_73265DBA7557,1014.3,PP1090849,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-07-04
RCG_996F236E3353,422.21,PP1107603,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-02-18
RCG_D4627E754077,295.18,PP1093377,Recharge_Bills,Dth,Successful,Successful,2024-12-14
RCG_C6AB1411FE96,1977.05,PP0030128,Recharge_Bills,Dth,Successful,Successful,2024-11-15
RCG_11B298C49495,81.24,PP0021081,Recharge_Bills,Dth,Successful,Successful,2024-04-02
RCG_39262D6F795A,1455.0,PP0007516,Recharge_Bills,Cable Tv,Successful,Successful,2024-04-22
RCG_1447F00F9425,1014.3,PP0036738,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-11-23
RCG_3FD12C6F2585,1520.03,PP1096380,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-07-09
RCG_F28823144989,676.28,PP0041579,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-05-25
RCG_33F3D062CD8B,530.82,PP1101557,Recharge_Bills,Dth,Successful,Successful,2024-12-14
RCG_832A37907241,1862.65,PP1068689,Recharge_Bills,Fastag Recharge,Failed,Wrong PIN,2024-08-15
RCG_647B8869E9A9,1511.13,PP1084469,Recharge_Bills,Cable Tv,Successful,Successful,2024-06-07
RCG_092BFFF115BE,1986.77,PP0037867,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-12-24
RCG_30427093F5A1,878.71,PP0031603,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-09-07
RCG_54D4235E2457,588.27,PP1105435,Recharge_Bills,Cable Tv,Successful,Successful,2024-05-03
RCG_421B3C29168F,1458.86,PP1079875,Recharge_Bills,Fastag Recharge ,Successful,Successful,2024-09-30
RCG_B7838A2900E5,372.61,PP0031255,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-11-15
RCG_82E9990083E3,551.27,PP0027595,Recharge_Bills,Cable Tv,Successful,Successful,2024-04-27
RCG_9046851CA41A,271.4,Unknown,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-10-10
RCG_A33BA746D0B8,1607.24,PP1100066,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-12-03
RCG_022FDE8D221F,366.65,PP0040370,Recharge_Bills,Dth,Successful,Successful,2024-06-25
RCG_8287B6789DF3,1464.55,PP1064631,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-15
RCG_9D0BB38EBB19,1335.26,Unknown,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-03-25
RCG_48598B11401A,1119.05,PP1064905,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-09-29
RCG_1CC6D0C07678,854.16,PP1083381,Recharge_Bills,Mobile Recharge ,Successful,Successful,2024-03-09
RCG_339C5EB998AE,740.31,PP1090945,Recharge_Bills,Cable Tv,Successful,Successful,2024-05-14
RCG_10C277EEBD71,1704.84,PP0045965,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-08-08
RCG_9277B5A4B161,1835.03,PP0021604,Recharge_Bills,Dth,Successful,Successful,2024-06-04
RCG_FC1FEB7B57DC,1347.29,PP1099173,Recharge_Bills,Cable Tv,Successful,Successful,2024-06-25
RCG_5375C754DEA0,541.61,PP0034013,Recharge_Bills,Dth,Successful,Successful,2024-09-06
RCG_D205EBCBBFA2,722.14,PP1063259,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-12-02
RCG_2C7591F5513B,1556.87,PP0013998,Recharge_Bills,Cable Tv,Successful,Successful,2024-08-12
RCG_71D1704E69A0,394.13,PP0042158,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-23
RCG_F534B3D437D2,270.03,PP1065867,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-07-28
RCG_62A8C8187B46,133.72,PP0017903,Recharge_Bills,Mobile Recharge,Unknown,Wrong PIN,2024-03-04
RCG_76D39F6F4EA0,1564.11,PP0010132,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-02-08
RCG_D087A1457D9E,1758.66,PP1060780,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-07-03
RCG_A6F718395A49,108.64,PP1092907,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-09-23
RCG_5ADCC7FC1C01,1728.96,PP1054719,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-02-16
RCG_C1C77BFE49B5,1741.62,PP0025296,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-10-17
RCG_0AD1030F0E68,1994.17,PP0015267,Recharge_Bills,Mobile Recharge,Unknown,Successful,2024-10-30
RCG_BA0A03A87A81,1257.55,PP1049418,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-01-19
RCG_34794D767F78,1233.03,PP0011698,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-01-21
RCG_0142DB1A9356,1833.92,PP0016411,Recharge_Bills,Cable Tv,Successful,Successful,2024-06-10
RCG_ECEF05F42BD4,951.4,PP1061974,Recharge_Bills,Cable Tv,Successful,Successful,2024-03-19
RCG_B62419133BF8,1207.59,PP0026398,Recharge_Bills,Cable Tv,Successful,Successful,2024-10-18
RCG_033045A28131,1011.32,PP0001743,Recharge_Bills,Dth,Successful,Successful,2024-11-30
RCG_1F8BF7930AE3,588.43,PP1083299,Recharge_Bills,Dth,Successful,Successful,2024-04-10
RCG_447D4DE5DDF1,151.64,Unknown,Recharge_Bills,Cable Tv,Successful,Successful,2024-01-03
RCG_2EF47A9B14F1,741.64,PP1075386,Recharge_Bills,Cable Tv,Successful,Successful,2024-12-12
RCG_EF016C8FB888,1973.24,PP1071161,Recharge_Bills,Cable Tv,Successful,Successful,2024-11-17
RCG_489C23A41F8E,1014.3,PP1049965,Recharge_Bills,Dth,Unknown,Successful,2024-04-22
RCG_49C397538517,1698.45,Unknown,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-02
RCG_C25E40D61199,964.44,PP1068533,Recharge_Bills,Dth,Successful,Successful,2024-05-20
RCG_4EED2A329E99,80.79,PP1101226,Recharge_Bills,Cable Tv,Successful,Successful,2024-03-04
RCG_A3E72A26992D,1051.29,PP1098488,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-10-07
RCG_D1B4DAC195D5,1888.15,PP1054163,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-21
RCG_9C762229C223,350.28,PP0017159,Recharge_Bills,Cable Tv,Unknown,Successful,2024-05-09
RCG_98F574307935,1155.35,PP0037253,Recharge_Bills,Fastag Recharge,Unknown,Successful,2024-04-08
RCG_DB1A3ADA025B,504.69,PP0022802,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-11-02
RCG_3EB5D6A2A778,1639.03,PP0014374,Recharge_Bills,Dth,Successful,Successful,2024-01-10
RCG_53D054E3390E,1365.69,PP0017214,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-07
RCG_4F20AADF3C48,599.02,PP1074110,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-12-26
RCG_E3BE0AEF7363,1478.87,PP1090265,Recharge_Bills,Dth ,Successful,Successful,2024-01-19
RCG_FD1523F638E6,1479.42,PP0016561,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-19
RCG_3383AD436279,1524.91,PP1102795,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-01-04
RCG_E99C3B222875,240.96,PP1083315,Recharge_Bills,Dth,Successful,Successful,2024-08-02
RCG_8E4B061766F7,422.37,PP1105839,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-03-12
RCG_6FC14261CE0A,225.31,PP0021461,Recharge_Bills,Dth,Successful,Successful,2024-08-24
RCG_1695AC7CA826,1014.3,PP1058124,Recharge_Bills,Fastag Recharge,Failed,Insufficient amount,2024-10-18
RCG_19D46C6C08B7,1515.07,PP0015156,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-08-24
RCG_FCD96AFB0248,886.48,Unknown,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-12-07
RCG_57EBCC7B15AE,675.38,PP1085536,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-01-22
RCG_888CC4669D50,380.96,PP1073743,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-31
RCG_9DD46F4E24BF,723.89,PP0025686,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-01-07
RCG_676C48C5E5AF,258.2,PP1055640,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-02-10
RCG_5B83A5334F0E,1215.69,PP1055807,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-09-17
RCG_030F1D5BEB96,1320.66,PP1088823,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-03-06
RCG_216A742B6A35,1891.59,PP1089613,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-07-10
RCG_9E540E2E1CA7,1578.42,PP1100758,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-11-11
RCG_C3DBA9F25F81,1444.63,PP1107023,Recharge_Bills,Dth,Successful,Successful,2024-02-22
RCG_1CABDAB2F1C2,397.67,PP0036278,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-10-06
RCG_13156DBD4F6E,1014.3,PP0044339,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-01-09
RCG_5D63EB2AAF73,786.47,PP0034551,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-08-28
RCG_2D706761986E,1760.35,PP1063412,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-08-19
RCG_5D7441006392,187.78,PP0035973,Recharge_Bills,Cable Tv,Successful,Successful,2024-10-19
RCG_8FEDF27C1A4D,619.57,PP1092013,Recharge_Bills,Cable Tv,Successful,Successful,2024-10-11
RCG_6A8B71B65EE5,822.62,PP0021790,Recharge_Bills,Cable Tv ,Successful,Successful,2024-09-04
RCG_057C68C1D382,1845.27,PP1086689,Recharge_Bills,Dth,Successful,Successful,2024-05-09
RCG_B1A794B397A4,1262.76,PP1102805,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-16
RCG_102CA100FF37,715.51,PP0024790,Recharge_Bills,Cable Tv,Successful,Successful,2024-04-01
RCG_0454CDF3863E,1611.89,PP1096113,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-09-03
RCG_2C6E4A0172F7,502.63,PP0009707,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-04-17
RCG_970E196731A9,58.19,PP0009166,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-07-24
RCG_C89F1B5C14AB,392.48,PP1096810,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-09-21
RCG_100C6683AAF1,1188.8,PP1066357,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-16
RCG_7B96A08A6475,1940.36,Unknown,Recharge_Bills,Dth,Successful,Successful,2024-09-17
RCG_D2CC5392DF3C,583.04,PP0023368,Recharge_Bills,Dth,Successful,Successful,2024-08-18
RCG_C1C9E6055D56,1886.44,PP0029259,Recharge_Bills,Mobile Recharge ,Successful,Successful,2024-03-29
RCG_FA817CDB4075,945.05,PP0012433,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-07-13
RCG_23E90BA5C877,1151.77,PP0048322,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-10-25
RCG_638578906501,1139.03,PP0013377,Recharge_Bills,Cable Tv,Successful,Successful,2024-01-23
RCG_4174E220ED23,444.07,PP0016328,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-10-30
RCG_FEBE85930339,686.86,PP1104185,Recharge_Bills,Dth,Successful,Successful,2024-06-03
RCG_FB63A41633D5,632.95,PP1072085,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-04-11
RCG_00372C9EDBAE,57.57,PP1088726,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-25
RCG_F8AF3B25DEEC,1657.89,Unknown,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-31
RCG_9D5CFCA3E638,930.94,PP0032686,Recharge_Bills,Mobile Recharge ,Successful,Successful,2024-06-09
RCG_5E553CDC3182,1077.61,PP1061607,Recharge_Bills,Cable Tv,Successful,Successful,2024-03-26
RCG_78587E4755EB,1314.82,PP1081346,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-07
RCG_7F48534443BD,714.42,PP0017786,Recharge_Bills,Dth,Successful,Successful,2024-03-01
RCG_B2C25D199A0D,337.5,PP1097321,Recharge_Bills,Dth,Successful,Successful,2024-03-10
RCG_C3285EE648B3,50.27,PP1057590,Recharge_Bills,Dth,Successful,Successful,2024-12-14
RCG_38A3DD1D0DB6,359.81,PP1063160,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-08-16
RCG_63A27F9870A3,1316.2,Unknown,Recharge_Bills,Dth ,Successful,Successful,2024-07-09
RCG_6753FB33770B,829.96,PP1079351,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-16
RCG_3630C8E62F87,1250.27,PP0009925,Recharge_Bills,Mobile Recharge,Failed,Server error,2024-12-01
RCG_BCBFE35B3BBB,258.13,PP0011613,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-03-16
RCG_69FF91948D19,1909.56,PP1081431,Recharge_Bills,Cable Tv,Successful,Successful,2024-02-09
RCG_61D289806BD1,1574.09,PP1087342,Recharge_Bills,Cable Tv,Successful,Successful,2024-08-10
RCG_66C9ECC05204,27.19,PP0027796,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-01-11
RCG_3908EACA7BA8,1905.29,PP0037826,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-04-28
RCG_53CA6405E7B5,1958.73,PP1059423,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-08-31
RCG_BB63AE4B181E,1982.79,PP1078499,Recharge_Bills,Cable Tv,Failed,Insufficient amount,2024-07-21
RCG_AB66C60AA076,988.3,PP1056230,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-15
RCG_10C3D2455531,797.83,PP1085243,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-05-21
RCG_3B0DDC2015FD,1317.97,PP0004206,Recharge_Bills,Cable Tv,Successful,Successful,2024-10-27
RCG_2AB9C65C2C92,1501.14,PP1096128,Recharge_Bills,Dth,Successful,Successful,2024-03-06
RCG_FC87BDCCEBD1,596.5,PP0018629,Recharge_Bills,Dth,Successful,Successful,2024-10-20
RCG_8EBB186F845E,1686.04,PP1064080,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-02-17
RCG_689BF576AE45,993.09,PP0021813,Recharge_Bills,Cable Tv,Successful,Successful,2024-01-10
RCG_99A10523C45A,486.78,PP0020439,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-07-13
RCG_19E0D41AFA92,232.03,PP1088035,Recharge_Bills,Cable Tv,Successful,Unknown,2024-11-07
RCG_4ACB49E31CBA,1734.15,PP1068780,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-30
RCG_A12DF4BAD49C,1356.64,PP1089344,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-02-18
RCG_4BFF90E18CCE,557.28,PP1081934,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-03-16
RCG_F4C0B870E982,1627.12,PP0024458,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-17
RCG_8426CC10D571,1406.29,PP1073434,Recharge_Bills,Fastag Recharge,Failed,Wrong PIN,2024-10-15
RCG_1F22649964F5,320.99,PP0004336,Recharge_Bills,Cable Tv,Successful,Successful,2024-12-10
RCG_0A6E875A0E60,933.0,PP0042281,Recharge_Bills,Dth,Successful,Successful,2024-09-18
RCG_54E69424130C,393.51,PP0045348,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-09-05
RCG_2DFAD4C7F467,113.47,PP0016474,Recharge_Bills,Fastag Recharge,Successful,Unknown,2024-09-22
RCG_EE779B461D51,1334.78,PP1062703,Recharge_Bills,Cable Tv,Successful,Successful,2024-07-16
RCG_D70065385D51,364.06,PP1071549,Recharge_Bills,Dth,Successful,Successful,2024-05-06
RCG_FBCD891AD7BC,349.4,PP0026180,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-12-15
RCG_CB0050F2939F,1242.48,PP0009965,Recharge_Bills,Cable Tv,Successful,Successful,2024-09-17
RCG_B259A4A2E513,781.02,PP0019205,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-11-18
RCG_66715858D192,571.1,PP1076530,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-03
RCG_1E3E1C2FB001,748.39,PP1089983,Recharge_Bills,Cable Tv,Successful,Successful,2024-06-16
RCG_F01AC6A89CF3,1662.05,PP0038121,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-03-27
RCG_7FB4012300D0,141.74,PP1105181,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-12-08
RCG_6A82779836EF,848.89,PP0048822,Recharge_Bills,Cable Tv,Successful,Successful,2024-11-03
RCG_1CD8DD237A55,1086.34,PP1066325,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-06-04
RCG_039FAD448785,445.44,PP1086592,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-01-31
RCG_2906FD6F0554,1215.06,PP1094083,Recharge_Bills,Cable Tv,Successful,Successful,2024-05-15
RCG_6F590E90938C,500.67,PP0006743,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-09-06
RCG_D6AE62C2D20C,378.88,PP0039490,Recharge_Bills,Dth,Successful,Successful,2024-05-21
RCG_DBF80277870A,711.21,PP0024351,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-03-31
RCG_9D825DED551A,1449.88,PP1079303,Recharge_Bills,Dth,Successful,Successful,2024-09-14
RCG_545FA9CAD132,425.35,PP1051293,Recharge_Bills,Mobile Recharge,Successful,Successful,2024-01-16
RCG_C286ABC9A56F,791.67,PP1085212,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-10-24
RCG_6CC2C7606911,1429.29,PP0002600,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-08-16
RCG_49ABBEEC5B31,770.86,PP0037798,Recharge_Bills,Cable Tv,Unknown,Successful,2024-09-28
RCG_E06B676B2BC9,1916.02,PP1084178,Recharge_Bills,Fastag Recharge,Successful,Successful,2024-11-01
